"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
3.925,2,3,276.92,276.92,0,22,4,10,9
0,2,1,853.97,853.97,0,59,5,8,8
0,2,1,632.01,632.01,0,63,5,7,3
0,2,1,2134.09,2134.09,0,38,9,3,5
5.08,2,2,741.275,741.275,0,58,7,3,8
0,3,2,430.62,437.216346153846,0,44,6,7,6
20,2,1,854.069,854.069,0,68,10,12,2
19.765,2,3,899.664,899.664,0,71,8,12,4
0,2,1,528.87,539.304837807453,0,58,3,7,1
0,8,1,1007.88,1007.88,0,46,7,7,5
10.27,2,1,1096.37,1096.37,0,60,3,3,8
1.95,1,1,722.59,722.59,0,68,5,12,12
0.5,1,2,145.51,239.525092875543,0,62,6,12,2
0,1,2,202.292,207.579740384615,0,80,4,12,1
13.84,3,2,361.35,471.147678373266,0,32,5,7,11
2.64,2,1,1030.3,1030.3,0,26,4,2,1
5.725,4,3,2134.09,2134.09,0,44,9,3,6
0,5,1,349.85,481.124353120481,0,44,5,7,7
0,3,1,1098.905,1098.905,0,33,6,2,9
0,1,2,231.93,248.297233677585,0,80,4,12,5
1,2,2,461.31,461.31,0,67,5,12,8
0.095,3,2,1322.16666666667,1322.16666666667,0,53,8,2,2
4.465,2,3,1397.66,1397.66,0,33,6,6,5
1,2,1,462.58,462.58,0,61,5,3,4
0,2,2,176.125,256.125,0,52,6,7,12
2.575,2,3,465.434,465.434,0,71,7,12,2
0,3,1,774.31,774.31,0,64,8,3,7
0.115,1,2,246.382,252.362256410256,0,80,6,12,8
57.87,1,2,282.7,282.7,0,48,8,12,11
0,2,3,438.522,438.522,0,78,4,12,3
300.85,1,2,192.522,197.302144230769,0,80,4,12,6
0,3,2,463.19,463.19,0,59,8,1,2
1,3,2,253.73,361.719823562594,0,41,6,7,6
0.38,2,1,461.58,461.58,0,51,6,6,3
0,1,2,339.7,443.078476420117,0,76,3,12,5
2.555,3,2,588.2875,588.2875,0,34,3,8,9
1.665,2,2,249.64,255.553373397436,0,52,9,4,1
1.23,1,1,192.502,197.552961538462,0,79,3,12,3
0,1,1,313.5,317.509759615385,0,26,5,7,10
0,2,2,253.85,259.256602564103,0,50,5,2,3
0,1,2,387.02,391.773125,0,49,3,8,2
12.01,3,1,1410.1675,1410.1675,0,52,9,3,3
112.5,3,1,1830.775,1830.775,0,49,6,7,5
0,2,1,591.95,591.95,0,56,6,8,5
5.77,2,2,1059.79,1059.79,0,56,5,3,3
0,1,1,419.57,427.78844551282,0,75,5,12,7
0,2,2,396.699,396.699,0,80,6,12,1
0.095,3,2,1075.45,1075.45,0,44,7,3,10
0,1,2,163.1795,168.045173076923,0,70,1,12,8
0,4,2,129.5,269.534816363763,0,30,5,9,7
21.275,2,1,371.3415,379.203779614663,0,79,5,12,9
3.84,1,2,177.947,198.356578245505,0,80,4,12,9
0,2,1,282.349,356.078381393918,0,79,4,12,9
0,3,2,319.76,378.410403368987,0,29,4,7,2
0,1,1,149.945,273.156605335312,0,71,5,12,7
0,1,2,198.442,311.674496643201,0,70,4,12,11
0,2,1,624.05,624.05,0,80,6,12,7
0,1,2,424.902,432.048995192308,0,76,5,12,7
3.75,1,2,367.6475,374.26,0,54,3,4,8
3.96,3,1,328.695,370.249464807383,0,33,3,3,4
1.145,2,1,842.12,842.12,0,29,3,4,6
0,1,2,278.53,283.232596153846,0,64,3,7,2
0,3,1,493.5,493.5,0,33,3,8,4
1.1,1,1,78.25,184.657881257777,0,54,4,12,9
0,1,2,652.06,657.877435897436,0,59,5,3,2
5.08,2,1,1910.5525,1910.5525,0,32,4,2,8
45,3,1,950.735,950.735,0,65,5,3,8
0,2,1,354.774,354.774,0,80,7,12,4
0,1,2,250.36,254.262932692308,0,60,4,6,11
0,3,2,1926.74,1926.74,0,60,7,2,8
0,1,2,148.39,228.899326923077,0,42,3,9,2
3.18,2,1,340.044,340.044,0,79,8,12,4
0,1,2,180.25,263.100040813562,0,49,4,12,9
9.25,2,1,302.304,302.304,0,67,6,12,7
0,1,2,175.9,271.942120688968,0,53,4,12,2
1.745,2,1,1697.12,1697.12,0,62,7,2,9
0,1,2,193.01,250.354562587838,0,74,4,12,3
6.95,2,1,606.96,606.96,0,28,5,4,2
0,4,1,705.78,705.78,0,47,7,3,1
0,2,2,137.25,212.25,0,43,6,12,12
0,4,1,393.04,393.04,0,29,4,6,8
5.235,2,1,606.232,606.232,0,63,10,3,8
0,2,2,693.12,701.750625338915,0,69,2,8,7
3.675,1,1,200.7,294.715091791588,0,80,3,12,9
16.09,2,1,2134.09,2134.09,0,57,9,2,9
0,1,2,145.417,152.6835625,0,80,5,12,6
3.275,2,1,617.44,617.44,0,58,5,3,5
23.295,1,2,767.8795,767.8795,0,62,7,12,12
0,1,2,197.692,264.037006254172,0,58,5,6,9
3.995,2,2,353.68,353.68,0,65,8,12,12
1,2,1,361.744,361.744,0,67,6,12,10
9.55,4,2,522.25,522.25,0,39,4,6,8
0,1,2,203.552,218.174756218623,0,77,5,12,1
0,5,2,436.25,547.506008525239,0,38,5,9,5
3,3,2,262.254,262.254,0,77,6,12,3
1.49,1,2,159.072,305.588893803587,0,66,4,12,7
61.395,2,2,2134.09,2134.09,0,42,10,2,4
0,4,2,1571.95,1571.95,0,39,3,4,6
2.495,2,1,790.93,790.93,0,71,7,7,8
0,5,2,115.52,282.477579748139,0,33,6,9,7
0,3,1,1105.2,1105.2,0,50,6,3,8
0,2,1,1150.51166666667,1150.51166666667,0,60,5,4,6
5.745,3,1,2134.09,2134.09,0,44,6,3,8
0,2,1,606.264,606.264,0,70,8,12,4
2.5,1,1,788.91,795.062756410256,0,32,5,10,7
0,3,1,1955.665,1955.665,0,35,4,2,8
1.94,3,2,760.45,766.073782051282,0,34,5,4,4
49.5,2,3,446.374,446.374,0,78,6,12,4
28.17,3,1,1694.40743589744,1694.40743589744,0,39,7,2,5
0,2,1,379.37,379.37,0,61,8,2,12
67.26,3,2,597.17,597.17,0,40,3,8,8
0,2,1,152.25,212.538621794872,0,60,7,12,2
0.21,1,2,156.425,181.90006767024,0,61,4,12,9
0,2,2,664.582,664.582,0,80,7,6,3
0,1,2,461.532,469.754852564103,0,75,10,12,8
0,1,2,272.062,295.33035108135,0,80,5,12,2
0,4,1,1028.79153846154,1028.79153846154,0,37,7,6,4
0.275,2,2,1584.21,1584.21,0,43,4,4,8
0,2,2,210.342,283.655846575081,0,65,6,12,1
0,2,1,923.81,923.81,0,69,5,8,5
0,1,2,308.022,312.812817307692,0,67,5,4,3
2.27,1,1,310.51,315.601057692308,0,61,6,5,1
0,1,2,63.312,69.1518958333333,0,75,5,12,5
0,2,2,660.632948717949,660.632948717949,0,48,4,7,3
2,2,1,1750.91,1750.91,0,35,5,3,5
0,2,2,396.9625,396.9625,0,58,6,8,6
2.045,1,1,546.757,556.034636217949,0,77,6,12,2
23.755,3,3,910.44,910.44,0,49,4,8,9
2.13,2,1,825.4775,825.4775,0,54,5,5,5
0.245,2,2,229.48,239.651858974359,0,39,6,8,11
